Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
411,2017-01-04 20:36:45,2017-01-04 20:43:36,345,W 13 St & 6 Ave,40.73649403,-73.99704374,483,E 12 St & 3 Ave,40.73223272,-73.98889957,21274,Subscriber,1985,2
122,2017-01-04 21:42:03,2017-01-04 21:44:06,433,E 13 St & Avenue A,40.72955361,-73.98057249,504,1 Ave & E 16 St,40.73221853,-73.98165557,18249,Subscriber,1987,1
334,2017-01-05 00:00:35,2017-01-05 00:06:09,3243,E 58 St & 1 Ave,40.75892386377695,-73.96226227283478,3141,1 Ave & E 68 St,40.76500525,-73.95818491,18681,Subscriber,1987,2
537,2017-01-05 06:36:25,2017-01-05 06:45:22,379,W 31 St & 7 Ave,40.749156,-73.9916,475,E 16 St & Irving Pl,40.73524276,-73.98758561,15708,Subscriber,1961,1
865,2017-01-05 07:20:24,2017-01-05 07:34:50,3146,E 81 St & 3 Ave,40.77573034,-73.9567526,164,E 47 St & 2 Ave,40.75323098,-73.97032517,15083,Subscriber,1967,1
757,2017-01-05 07:49:35,2017-01-05 08:02:13,3176,W 64 St & West End Ave,40.77452835,-73.98753759,3168,Central Park West & W 85 St,40.78472675,-73.96961715,26020,Subscriber,1980,1
352,2017-01-05 08:13:06,2017-01-05 08:18:58,3364,Carroll St & 5 Ave,40.6751622,-73.9814832,3429,Hanson Pl & Ashland Pl,40.68506807308177,-73.97790759801863,18141,Subscriber,1970,1
309,2017-01-05 08:30:53,2017-01-05 08:36:02,531,Forsyth St & Broome St,40.71893904,-73.99266288,303,Mercer St & Spring St,40.72362738,-73.99949601,16964,Subscriber,1987,2
417,2017-01-05 08:47:01,2017-01-05 08:53:59,302,Avenue D & E 3 St,40.72082834,-73.97793172,311,Norfolk St & Broome St,40.7172274,-73.98802084,17125,Subscriber,1996,1
2221,2017-01-05 09:05:19,2017-01-05 09:42:21,3173,Riverside Blvd & W 67 St,40.777507027547976,-73.98888587951659,426,West St & Chambers St,40.71754834,-74.01322069,21653,Subscriber,1989,2
587,2017-01-05 09:28:23,2017-01-05 09:38:11,440,E 45 St & 3 Ave,40.75255434,-73.97282625,520,W 52 St & 5 Ave,40.75992262,-73.97648516,21347,Subscriber,1956,2
